train_loss,epoch,step,valid_loss,MultilabelAccuracy,MultilabelExactMatch,MultilabelAveragePrecision,valid_map_Abseiling,valid_map_Attacking,valid_map_Attending,valid_map_Barking,valid_map_Being Carried,valid_map_Being Carried In Mouth,valid_map_Being Dragged,valid_map_Being Eaten,valid_map_Biting,valid_map_Building nest,valid_map_Calling,valid_map_Camouflaging,valid_map_Carrying,valid_map_Carrying In Mouth,valid_map_Chasing,valid_map_Chirping,valid_map_Climbing,valid_map_Coiling,valid_map_Competing For Dominance,valid_map_Dancing,valid_map_Dancing On Water,valid_map_Dead,valid_map_Defecating,valid_map_Defensive Rearing,valid_map_Detaching As A Parasite,valid_map_Digging,valid_map_Displaying Defensive Pose,valid_map_Disturbing Another Animal,valid_map_Diving,valid_map_Doing A Back Kick,valid_map_Doing A Backward Tilt,valid_map_Doing A Chin Dip,valid_map_Doing A Face Dip,valid_map_Doing A Neck Raise,valid_map_Doing A Side Tilt,valid_map_Doing Push Up,valid_map_Doing somersault,valid_map_Drifting,valid_map_Drinking,valid_map_Dying,valid_map_Eating,valid_map_Entering its nest,valid_map_Escaping,valid_map_Exiting Cocoon,valid_map_Exiting Nest,valid_map_Exploring,valid_map_Falling,valid_map_Fighting,valid_map_Flapping,valid_map_Flapping its ears,valid_map_Flapping Tail,valid_map_Fleeing,valid_map_Flying,valid_map_Gasping For Air,valid_map_Getting Bullied,valid_map_Giving Birth,valid_map_Giving Off Light,valid_map_Gliding,valid_map_Grooming,valid_map_Hanging,valid_map_Hatching,valid_map_Having A Flehmen Response,valid_map_Hissing,valid_map_Holding Hands,valid_map_Hopping,valid_map_Hugging,valid_map_Immobilized,valid_map_Jumping,valid_map_Keeping still,valid_map_Landing,valid_map_Lying Down,valid_map_Laying Eggs,valid_map_Leaning,valid_map_Licking,valid_map_Lying on its side,valid_map_Lying On Top,valid_map_Manipulating Object,valid_map_Molting,valid_map_Moving,valid_map_Panting,valid_map_Pecking,valid_map_Performing allo-grooming,valid_map_Performing allo-preening,valid_map_Performing copulatory mounting,valid_map_Performing Sexual Display,valid_map_Performing sexual exploration,valid_map_Performing sexual pursuit,valid_map_Playing,valid_map_Playing Dead,valid_map_Pounding,valid_map_Preening,valid_map_Preying,valid_map_Puffing its throat,valid_map_Pulling,valid_map_Rattling,valid_map_Resting,valid_map_Retaliating,valid_map_Retreating,valid_map_Rolling,valid_map_Rubbing its head,valid_map_Running,valid_map_Running On Water,valid_map_Sensing,valid_map_Shaking,valid_map_Shaking Head,valid_map_Sharing Food,valid_map_Showing Affection,valid_map_Sinking,valid_map_Sitting,valid_map_Sleeping,valid_map_Sleeping in its nest,valid_map_Spitting,valid_map_Spitting Venom,valid_map_Spreading,valid_map_Spreading Wings,valid_map_Squatting,valid_map_Standing,valid_map_Standing in alert,valid_map_Startled,valid_map_Stinging,valid_map_Struggling,valid_map_Surfacing,valid_map_Swaying,valid_map_Swimming,valid_map_Swimming In Circles,valid_map_Swinging,valid_map_Tail Swishing,valid_map_Trapped,valid_map_Turning Around,valid_map_Undergoing Chrysalis,valid_map_Unmounting,valid_map_Unrolling,valid_map_Urinating,valid_map_Walking,valid_map_Walking On Water,valid_map_Washing,valid_map_Waving,valid_map_Wrapping Itself Around Prey,valid_map_Wrapping Prey,valid_map_Yawning,train_map_Abseiling,train_map_Attacking,train_map_Attending,train_map_Barking,train_map_Being Carried,train_map_Being Carried In Mouth,train_map_Being Dragged,train_map_Being Eaten,train_map_Biting,train_map_Building nest,train_map_Calling,train_map_Camouflaging,train_map_Carrying,train_map_Carrying In Mouth,train_map_Chasing,train_map_Chirping,train_map_Climbing,train_map_Coiling,train_map_Competing For Dominance,train_map_Dancing,train_map_Dancing On Water,train_map_Dead,train_map_Defecating,train_map_Defensive Rearing,train_map_Detaching As A Parasite,train_map_Digging,train_map_Displaying Defensive Pose,train_map_Disturbing Another Animal,train_map_Diving,train_map_Doing A Back Kick,train_map_Doing A Backward Tilt,train_map_Doing A Chin Dip,train_map_Doing A Face Dip,train_map_Doing A Neck Raise,train_map_Doing A Side Tilt,train_map_Doing Push Up,train_map_Doing somersault,train_map_Drifting,train_map_Drinking,train_map_Dying,train_map_Eating,train_map_Entering its nest,train_map_Escaping,train_map_Exiting Cocoon,train_map_Exiting Nest,train_map_Exploring,train_map_Falling,train_map_Fighting,train_map_Flapping,train_map_Flapping its ears,train_map_Flapping Tail,train_map_Fleeing,train_map_Flying,train_map_Gasping For Air,train_map_Getting Bullied,train_map_Giving Birth,train_map_Giving Off Light,train_map_Gliding,train_map_Grooming,train_map_Hanging,train_map_Hatching,train_map_Having A Flehmen Response,train_map_Hissing,train_map_Holding Hands,train_map_Hopping,train_map_Hugging,train_map_Immobilized,train_map_Jumping,train_map_Keeping still,train_map_Landing,train_map_Lying Down,train_map_Laying Eggs,train_map_Leaning,train_map_Licking,train_map_Lying on its side,train_map_Lying On Top,train_map_Manipulating Object,train_map_Molting,train_map_Moving,train_map_Panting,train_map_Pecking,train_map_Performing allo-grooming,train_map_Performing allo-preening,train_map_Performing copulatory mounting,train_map_Performing Sexual Display,train_map_Performing sexual exploration,train_map_Performing sexual pursuit,train_map_Playing,train_map_Playing Dead,train_map_Pounding,train_map_Preening,train_map_Preying,train_map_Puffing its throat,train_map_Pulling,train_map_Rattling,train_map_Resting,train_map_Retaliating,train_map_Retreating,train_map_Rolling,train_map_Rubbing its head,train_map_Running,train_map_Running On Water,train_map_Sensing,train_map_Shaking,train_map_Shaking Head,train_map_Sharing Food,train_map_Showing Affection,train_map_Sinking,train_map_Sitting,train_map_Sleeping,train_map_Sleeping in its nest,train_map_Spitting,train_map_Spitting Venom,train_map_Spreading,train_map_Spreading Wings,train_map_Squatting,train_map_Standing,train_map_Standing in alert,train_map_Startled,train_map_Stinging,train_map_Struggling,train_map_Surfacing,train_map_Swaying,train_map_Swimming,train_map_Swimming In Circles,train_map_Swinging,train_map_Tail Swishing,train_map_Trapped,train_map_Turning Around,train_map_Undergoing Chrysalis,train_map_Unmounting,train_map_Unrolling,train_map_Urinating,train_map_Walking,train_map_Walking On Water,train_map_Washing,train_map_Waving,train_map_Wrapping Itself Around Prey,train_map_Wrapping Prey,train_map_Yawning
,0,128,0.123058639,0.965258479,0.007782101,0.048038594,0.996108949,0.957198441,0.789883256,0.980544746,0.984435797,0.988326848,1,0.984435797,0.976653695,1,0.996108949,0.992217898,0.996108949,0.972762644,1,0.770428002,0.988326848,1,0.984435797,1,1,0.996108949,0.976653695,0.992217898,1,0.984435797,0.961089492,0.879377425,0.996108949,1,1,1,0.980544746,0.992217898,0.992217898,0.984435797,1,0.992217898,0.933852136,0.980544746,0.747081697,1,1,0.984435797,0.354085594,0.972762644,0.992217898,0.968871593,0.941634238,0.968871593,1,0.984435797,0.95330739,1,0.926070035,1,1,1,0.996108949,0.996108949,1,0.996108949,0.653696477,1,1,0.980544746,1,0.941634238,0.669260681,0.988326848,0.984435797,0.996108949,1,0.988326848,1,0.918287933,0.968871593,1,0.766536951,1,0.996108949,1,0.984435797,0.961089492,0.992217898,1,0.968871593,1,1,1,0.90272373,1,0.996108949,1,0.984435797,0.996108949,0.976653695,0.949416339,0.894941628,1,0.867704272,0.996108949,0.626459122,0.980544746,0.957198441,0.914396882,0.996108949,1,1,0.996108949,0.992217898,1,0.992217898,1,0.996108949,1,0.988326848,1,0.996108949,1,0.984435797,0.976653695,1,0.941634238,1,0.961089492,1,1,0.980544746,1,1,1,0.996108949,0.801556408,1,0.976653695,0.996108949,0.996108949,1,0.984435797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,257,0.093140267,0.975764275,0.019455252,0.05029976,1,0.964980543,0.735408545,0.984435797,1,0.988326848,1,0.984435797,0.968871593,1,0.996108949,0.996108949,1,0.980544746,1,0.782101154,0.988326848,1,0.996108949,1,1,0.996108949,0.976653695,0.992217898,1,0.984435797,0.972762644,0.871595323,1,1,1,1,0.976653695,0.992217898,1,0.996108949,1,0.996108949,0.929961085,0.980544746,0.754863799,1,1,0.996108949,0.988326848,0.984435797,0.992217898,0.968871593,0.90661478,0.972762644,1,0.984435797,0.95330739,1,0.996108949,1,1,1,0.988326848,0.996108949,1,1,0.984435797,1,1,0.992217898,1,0.937743187,0.607003868,0.992217898,0.996108949,0.996108949,1,1,1,0.996108949,0.976653695,1,0.828793764,0.996108949,0.996108949,1,1,0.992217898,0.992217898,1,0.996108949,1,1,1,0.90272373,1,0.996108949,1,1,0.996108949,0.976653695,0.968871593,0.996108949,1,0.90272373,0.996108949,0.610894918,0.980544746,0.941634238,0.980544746,0.996108949,1,1,1,0.996108949,1,0.992217898,1,0.996108949,1,0.988326848,1,0.996108949,1,0.984435797,0.992217898,1,0.929961085,1,0.984435797,1,1,0.984435797,1,1,1,1,0.758754849,1,0.980544746,1,1,0.996108949,0.988326848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,563,0.061008062,0.981869817,0.037893701,0.035433222,0.999507844,0.980479002,0.797736228,0.99311024,1,0.991305768,0.999507844,0.982611537,0.976541996,0.997539341,0.989993453,0.999015749,0.998031497,0.978510499,0.99655509,0.866633832,0.992125988,0.999835968,0.999671936,0.999015749,0.999343812,0.996719182,0.988353014,0.999343812,0.999671936,0.994750679,0.985564291,0.975557745,0.994586587,0.998359561,0.998523593,0.999507844,0.970308423,0.995406806,0.999835968,0.999507844,1,0.998031497,0.957349062,0.994750679,0.820374012,0.998523593,0.998851717,0.99917978,0.996391058,0.982939661,0.989173234,0.985072196,0.952099741,0.985072196,0.999671936,0.992946208,0.936515749,1,0.999835968,0.99917978,0.999671936,0.99917978,0.991141737,0.998195529,0.999835968,0.999343812,0.995406806,0.999835968,0.999015749,0.994094491,0.997047246,0.954068244,0.661745429,0.967027545,0.999671936,0.999343812,0.999835968,0.999343812,0.995898962,0.996719182,0.993930459,1,0.877460659,0.999343812,0.997047246,0.996719182,0.999507844,0.998687685,0.994094491,0.999343812,0.99917978,0.996883214,0.999671936,0.999671936,0.907644331,0.998195529,0.999343812,0.999507844,0.997375309,0.998687685,0.992782176,0.988681078,0.998687685,0.998359561,0.961942255,0.998195529,0.668307066,0.982939661,0.897637784,0.989829421,0.997703433,0.999015749,0.995898962,0.998687685,0.99917978,0.999671936,0.996062994,0.999835968,0.991961956,0.999343812,0.994914711,0.998195529,0.996719182,0.999507844,0.988353014,0.995242774,0.999015749,0.942257226,0.999835968,0.999343812,1,0.999343812,0.986056447,0.999835968,0.999671936,0.999671936,0.99917978,0.82020998,0.999835968,0.979166687,0.999671936,0.999671936,0.99917978,0.994422555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,751,0.056807335,0.982985318,0.043143045,0.040391784,0.999507844,0.980807066,0.825623333,0.994094491,1,0.991305768,0.999507844,0.983923912,0.977526248,0.997539341,0.996062994,0.999015749,0.998359561,0.979658782,0.996391058,0.873031497,0.992454052,0.999835968,0.999671936,0.999015749,0.999343812,0.996719182,0.988353014,0.999343812,0.999671936,0.995406806,0.985892415,0.978182435,0.994914711,0.998359561,0.998523593,0.999507844,0.97178477,0.995406806,0.999835968,0.999507844,1,0.998031497,0.961778224,0.994750679,0.829724431,0.998523593,0.998851717,0.99917978,0.997539341,0.983103693,0.989501297,0.985236228,0.953248024,0.985892415,0.999671936,0.993274271,0.934875309,1,0.999835968,0.999343812,0.999671936,0.99917978,0.9914698,0.998195529,0.999835968,0.999507844,0.996062994,0.999835968,0.998851717,0.993438303,0.997539341,0.954232275,0.679297924,0.969488204,0.999835968,0.999343812,0.999835968,0.999343812,0.99573493,0.997375309,0.994914711,1,0.892716527,0.999507844,0.997211277,0.996719182,0.999507844,0.99917978,0.994094491,0.999343812,0.999507844,0.996883214,0.999671936,0.999671936,0.918799222,0.998195529,0.999343812,0.999507844,0.998359561,0.999015749,0.992782176,0.98884517,0.998687685,0.998359561,0.967355669,0.998523593,0.659940958,0.983595788,0.916174531,0.991961956,0.997703433,0.999015749,0.995898962,0.999015749,0.99917978,0.999671936,0.996227026,0.999835968,0.991961956,0.99917978,0.994258523,0.998359561,0.996719182,0.999507844,0.991633832,0.994750679,0.998687685,0.943077445,0.999835968,0.999343812,1,0.999507844,0.987368762,0.999835968,0.999507844,0.999671936,0.999507844,0.832677186,0.999835968,0.978182435,0.999671936,0.999671936,0.99917978,0.99655509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,939,0.054386579,0.983621597,0.042486876,0.045781646,0.999671936,0.980971158,0.824803174,0.994422555,0.999835968,0.991305768,0.999507844,0.984251976,0.977362216,0.997539341,0.996883214,0.999015749,0.998359561,0.979822814,0.995570838,0.894849062,0.99229002,0.999835968,0.999671936,0.999015749,0.999507844,0.996719182,0.988353014,0.999507844,0.999835968,0.995898962,0.986056447,0.979658782,0.994750679,0.998359561,0.998687685,0.999507844,0.974081337,0.995406806,0.999835968,0.999507844,0.998851717,0.998031497,0.962926507,0.994750679,0.842683733,0.998523593,0.999015749,0.999343812,0.997211277,0.98458004,0.989337265,0.985236228,0.951935709,0.985564291,0.999835968,0.993274271,0.937664032,1,0.999835968,0.999343812,0.999835968,0.99917978,0.991961956,0.998195529,0.999835968,0.999507844,0.996391058,0.999835968,0.999015749,0.994094491,0.998031497,0.956036747,0.701279521,0.968175828,1,0.999343812,0.999835968,0.999671936,0.995898962,0.997375309,0.994750679,1,0.906003952,0.999671936,0.997211277,0.996883214,0.999507844,0.999015749,0.994258523,0.999343812,0.999835968,0.995406806,0.999671936,1,0.911089242,0.998359561,0.999343812,0.999671936,0.998359561,0.998523593,0.992782176,0.98884517,0.998687685,0.998359561,0.965223074,0.998359561,0.675688982,0.983923912,0.897801816,0.993602335,0.997703433,0.999015749,0.995898962,0.99917978,0.99917978,0.999835968,0.996062994,1,0.991633832,0.999343812,0.99311024,0.998359561,0.996719182,0.999835968,0.991305768,0.995406806,0.999507844,0.94865483,0.999835968,0.999507844,1,0.999507844,0.987860918,0.999835968,0.999671936,0.999671936,0.999671936,0.843175828,0.999835968,0.979822814,0.999671936,0.999671936,0.999507844,0.996719182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,1127,0.052770775,0.983550131,0.052165356,0.05034605,0.999507844,0.980807066,0.824803174,0.994258523,1,0.991305768,0.999507844,0.985400259,0.977690279,0.997539341,0.996719182,0.99917978,0.998359561,0.97949475,0.996883214,0.90666008,0.992618084,0.999835968,0.999671936,0.999015749,0.999343812,0.996719182,0.988353014,0.999343812,0.999671936,0.994914711,0.985728323,0.979822814,0.994750679,0.998359561,0.998523593,0.999507844,0.975065589,0.995406806,1,0.999507844,1,0.998031497,0.962762475,0.994750679,0.849901557,0.998523593,0.999015749,0.99917978,0.997703433,0.985072196,0.989501297,0.985400259,0.961614192,0.986548543,0.999835968,0.993766427,0.939304471,1,0.999835968,0.999343812,0.999671936,0.99917978,0.991961956,0.998195529,0.999835968,0.999507844,0.997211277,0.999835968,0.999015749,0.994094491,0.998195529,0.955380559,0.669619441,0.969324172,0.999835968,0.999343812,0.999835968,0.999671936,0.995898962,0.997375309,0.994914711,1,0.890748024,0.999507844,0.997211277,0.996883214,0.999507844,0.999343812,0.994258523,0.999343812,0.999835968,0.996062994,0.999671936,0.999671936,0.915354311,0.998523593,0.999343812,0.999507844,0.998359561,0.998851717,0.992782176,0.988517046,0.998687685,0.998359561,0.967191577,0.998523593,0.667486906,0.98375982,0.897965908,0.991305768,0.997703433,0.999015749,0.995898962,0.99917978,0.99917978,0.999671936,0.99655509,0.999835968,0.991797924,0.999507844,0.992946208,0.998359561,0.99655509,0.999671936,0.991633832,0.995898962,0.999343812,0.950295269,0.999835968,0.999343812,1,0.999507844,0.987532794,0.999835968,0.999507844,0.999671936,0.999671936,0.840879261,0.999835968,0.983923912,0.999671936,0.999671936,0.999507844,0.996719182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,1315,0.050433226,0.984508574,0.054461941,0.056596246,0.999835968,0.980807066,0.841207325,0.994422555,1,0.991305768,0.999507844,0.984416008,0.977690279,0.997703433,0.998195529,0.999343812,0.998359561,0.979658782,0.996391058,0.912237525,0.99229002,0.999835968,0.999671936,0.999015749,0.999671936,0.996883214,0.988353014,0.999671936,1,0.995570838,0.986056447,0.979658782,0.994422555,0.998523593,0.998851717,0.999507844,0.975229681,0.995570838,0.999835968,0.999671936,1,0.998195529,0.963910758,0.994750679,0.853674531,0.998687685,0.999343812,0.999507844,0.997539341,0.985072196,0.989501297,0.985400259,0.959481657,0.986876667,0.999835968,0.994094491,0.940780818,1,0.999835968,0.999507844,0.999835968,0.99917978,0.991961956,0.998195529,0.999835968,0.999507844,0.997211277,0.999835968,0.998523593,0.993930459,0.998195529,0.95718503,0.705708683,0.967847764,1,0.999343812,0.999835968,0.999671936,0.995898962,0.997375309,0.994750679,1,0.903871417,0.999671936,0.997211277,0.996883214,0.999507844,0.999343812,0.994258523,0.999343812,0.999835968,0.996719182,0.999671936,1,0.923720479,0.998523593,0.999343812,0.999835968,0.998359561,0.998851717,0.992782176,0.987368762,0.998687685,0.998359561,0.966043293,0.998523593,0.686515749,0.983923912,0.917158782,0.992618084,0.997703433,0.999015749,0.995898962,0.99917978,0.99917978,0.999835968,0.99655509,1,0.991797924,0.999507844,0.992618084,0.998359561,0.996719182,0.999835968,0.991797924,0.995570838,0.999507844,0.952099741,0.999835968,0.999507844,1,0.999507844,0.987860918,0.999835968,0.999671936,0.999671936,0.999671936,0.847440958,0.999835968,0.981299222,0.999671936,0.999671936,0.999671936,0.996719182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,1503,0.050063461,0.984554291,0.057742782,0.060342405,0.999835968,0.979002595,0.838418663,0.994258523,0.999835968,0.991305768,0.999507844,0.986056447,0.977854311,0.997703433,0.997539341,0.999343812,0.998359561,0.979658782,0.996391058,0.910761178,0.992618084,0.999835968,0.999671936,0.999015749,0.999507844,0.996719182,0.988353014,0.999507844,1,0.99573493,0.986056447,0.980150938,0.995078743,0.998523593,0.998851717,0.999507844,0.97178477,0.995406806,0.999835968,0.999671936,1,0.998195529,0.963418663,0.994750679,0.861056447,0.998687685,0.999343812,0.999343812,0.997703433,0.985400259,0.989501297,0.985236228,0.963910758,0.986712575,0.999835968,0.993930459,0.942093194,1,0.999835968,0.999507844,0.999835968,0.99917978,0.991961956,0.998195529,0.999835968,0.999507844,0.997211277,0.999835968,0.999015749,0.993766427,0.998359561,0.957020998,0.71916008,0.970636487,1,0.999343812,0.999835968,0.999671936,0.995898962,0.997375309,0.994750679,1,0.909612834,0.999671936,0.997211277,0.996883214,0.999507844,0.99917978,0.994258523,0.999343812,0.999835968,0.996719182,0.999671936,1,0.922408164,0.998523593,0.999343812,0.999671936,0.998359561,0.99917978,0.992782176,0.987532794,0.998687685,0.998359561,0.967191577,0.998523593,0.686351717,0.983923912,0.894192934,0.9914698,0.997539341,0.999015749,0.99573493,0.99917978,0.99917978,0.999835968,0.99655509,1,0.991797924,0.999343812,0.993766427,0.998359561,0.996719182,0.999835968,0.991797924,0.995898962,0.999507844,0.953248024,0.999835968,0.999507844,1,0.999507844,0.987532794,0.999835968,0.999671936,0.999671936,0.999671936,0.846948802,0.999835968,0.983595788,0.999671936,0.999671936,0.999671936,0.996719182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,1691,0.049256597,0.984721839,0.056430448,0.065851428,0.999671936,0.98031497,0.841699481,0.994422555,1,0.991305768,0.999507844,0.984744072,0.977526248,0.997539341,0.998195529,0.99917978,0.998359561,0.979822814,0.99655509,0.915518343,0.992618084,0.999835968,0.999671936,0.999015749,0.999343812,0.996883214,0.988353014,0.999507844,0.999835968,0.995898962,0.986056447,0.980150938,0.995078743,0.998523593,0.998523593,0.999671936,0.975885808,0.995570838,0.999835968,0.999671936,1,0.998031497,0.96407479,0.994586587,0.861220479,0.998687685,0.99917978,0.999343812,0.997703433,0.985400259,0.989501297,0.985236228,0.963910758,0.986712575,0.999835968,0.99311024,0.941437006,1,0.999835968,0.999343812,0.999835968,0.99917978,0.991961956,0.998195529,0.999835968,0.999507844,0.997211277,0.999835968,0.998523593,0.994094491,0.998359561,0.956200778,0.719652236,0.967847764,0.999835968,0.999343812,0.999835968,0.999671936,0.99573493,0.997375309,0.994586587,1,0.911253273,0.999671936,0.997211277,0.996883214,0.999507844,0.999343812,0.994258523,0.999343812,0.999671936,0.991305768,0.999671936,0.999835968,0.915190279,0.998523593,0.999343812,0.999507844,0.998359561,0.99917978,0.992782176,0.986876667,0.998687685,0.998359561,0.967519701,0.998523593,0.68323493,0.983923912,0.918799222,0.992125988,0.997703433,0.999015749,0.995078743,0.99917978,0.99917978,0.999671936,0.99655509,1,0.991797924,0.999507844,0.99229002,0.998359561,0.996719182,0.999835968,0.991633832,0.995898962,0.999507844,0.954888463,0.999835968,0.999343812,1,0.999507844,0.987860918,0.999835968,0.999671936,0.999671936,0.999671936,0.851213932,0.999835968,0.985236228,0.999671936,0.999671936,0.999507844,0.996719182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,1879,0.049309902,0.984582424,0.074475065,0.071919695,0.999835968,0.980643034,0.836942255,0.994258523,1,0.991305768,0.999507844,0.985236228,0.977690279,0.997703433,0.996391058,0.99917978,0.998359561,0.97949475,0.996719182,0.915354311,0.992618084,0.999835968,0.999671936,0.999015749,0.999343812,0.996883214,0.988353014,0.999507844,0.999835968,0.996062994,0.985728323,0.979822814,0.994914711,0.998523593,0.998523593,0.999671936,0.974573493,0.995570838,0.999835968,0.999507844,1,0.998031497,0.963582695,0.994750679,0.865321517,0.998523593,0.99917978,0.999507844,0.997703433,0.985400259,0.989501297,0.985236228,0.962270319,0.987040699,0.999835968,0.994258523,0.942585289,1,0.999835968,0.99917978,0.999835968,0.99917978,0.991961956,0.998195529,0.999835968,0.999507844,0.997211277,0.999835968,0.998523593,0.994094491,0.998195529,0.95636481,0.713090539,0.968503952,1,0.999343812,0.999835968,0.999671936,0.995898962,0.997375309,0.995078743,1,0.90583992,0.999507844,0.997211277,0.996883214,0.999507844,0.999343812,0.994258523,0.999343812,0.999835968,0.996883214,0.999671936,0.999835968,0.916830719,0.998523593,0.999343812,0.999507844,0.998359561,0.999015749,0.992782176,0.986220479,0.998687685,0.998359561,0.967847764,0.998523593,0.692093194,0.98375982,0.901902914,0.989665329,0.997703433,0.999015749,0.995898962,0.99917978,0.99917978,0.999671936,0.996391058,0.999835968,0.991797924,0.999507844,0.994750679,0.998359561,0.99655509,0.999671936,0.991961956,0.99573493,0.999507844,0.955708683,0.999835968,0.999343812,1,0.999507844,0.987368762,0.999835968,0.999671936,0.999671936,0.999671936,0.849245429,0.999835968,0.982119441,0.999671936,0.999671936,0.999671936,0.996719182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
